mmsdm_month,quarter,tranche,contract_id,version_no,interconnector_id,from_region,units_offered,units_sold,clearing_price,reserve_price
2023-11,C2021Q2,T12,C2021Q2T12,14,NSW1-QLD1,NSW1,61,55,354.0,0.0
2023-11,C2021Q2,T12,C2021Q2T12,14,NSW1-QLD1,QLD1,246,110,10087.0,0.0
2023-11,C2021Q2,T12,C2021Q2T12,14,V-SA,SA1,117,70,4654.0,0.0
2023-11,C2021Q2,T12,C2021Q2T12,14,V-SA,VIC1,174,77,2054.0,0.0
2023-11,C2021Q2,T12,C2021Q2T12,14,VIC1-NSW1,NSW1,372,112,480.79,0.0
2023-11,C2021Q2,T12,C2021Q2T12,14,VIC1-NSW1,VIC1,258,125,8004.0,0.0
2023-11,C2021Q3,T11,C2021Q3T11,14,NSW1-QLD1,NSW1,45,45,417.47,0.0
2023-11,C2021Q3,T11,C2021Q3T11,14,NSW1-QLD1,QLD1,245,103,10790.21,0.0
2023-11,C2021Q3,T11,C2021Q3T11,14,V-SA,SA1,112,64,5321.0,0.0
2023-11,C2021Q3,T11,C2021Q3T11,14,V-SA,VIC1,199,73,2455.0,0.0
2023-11,C2021Q3,T11,C2021Q3T11,14,VIC1-NSW1,NSW1,266,108,500.44,0.0
2023-11,C2021Q3,T11,C2021Q3T11,14,VIC1-NSW1,VIC1,275,125,7700.0,0.0
2023-11,C2021Q4,T10,C2021Q4T10,14,NSW1-QLD1,NSW1,85,45,1249.0,0.0
2023-11,C2021Q4,T10,C2021Q4T10,14,NSW1-QLD1,QLD1,255,104,9200.79,0.0
2023-11,C2021Q4,T10,C2021Q4T10,14,V-SA,SA1,111,64,5372.0,0.0
2023-11,C2021Q4,T10,C2021Q4T10,14,V-SA,VIC1,170,73,2780.85,0.0
2023-11,C2021Q4,T10,C2021Q4T10,14,VIC1-NSW1,NSW1,269,114,465.88,0.0
2023-11,C2021Q4,T10,C2021Q4T10,14,VIC1-NSW1,VIC1,248,125,9377.0,0.0
2023-11,C2022Q1,T09,C2022Q1T09,14,NSW1-QLD1,NSW1,69,49,3278.0,0.0
2023-11,C2022Q1,T09,C2022Q1T09,14,NSW1-QLD1,QLD1,185,103,14524.2,0.0
2023-11,C2022Q1,T09,C2022Q1T09,14,V-SA,SA1,124,68,5650.47,0.0
2023-11,C2022Q1,T09,C2022Q1T09,14,V-SA,VIC1,103,73,7019.42,0.0
2023-11,C2022Q1,T09,C2022Q1T09,14,VIC1-NSW1,NSW1,250,117,4356.0,0.0
2023-11,C2022Q1,T09,C2022Q1T09,14,VIC1-NSW1,VIC1,305,125,12347.0,0.0
2023-11,C2022Q2,T08,C2022Q2T08,14,NSW1-QLD1,NSW1,45,45,612.0,0.0
2023-11,C2022Q2,T08,C2022Q2T08,14,NSW1-QLD1,QLD1,200,103,10800.0,0.0
2023-11,C2022Q2,T08,C2022Q2T08,14,V-SA,SA1,111,64,4066.67,0.0
2023-11,C2022Q2,T08,C2022Q2T08,14,V-SA,VIC1,171,73,2502.52,0.0
2023-11,C2022Q2,T08,C2022Q2T08,14,VIC1-NSW1,NSW1,319,115,420.44,0.0
2023-11,C2022Q2,T08,C2022Q2T08,14,VIC1-NSW1,VIC1,188,125,8529.23,0.0
2023-11,C2022Q3,T07,C2022Q3T07,14,NSW1-QLD1,NSW1,45,45,757.75,0.0
2023-11,C2022Q3,T07,C2022Q3T07,14,NSW1-QLD1,QLD1,174,102,13500.0,0.0
2023-11,C2022Q3,T07,C2022Q3T07,14,V-SA,SA1,118,64,5150.72,0.0
2023-11,C2022Q3,T07,C2022Q3T07,14,V-SA,VIC1,150,73,2387.0,0.0
2023-11,C2022Q3,T07,C2022Q3T07,14,VIC1-NSW1,NSW1,267,117,490.44,0.0
2023-11,C2022Q3,T07,C2022Q3T07,14,VIC1-NSW1,VIC1,223,125,9300.43,0.0
2023-11,C2022Q4,T06,C2022Q4T06,14,NSW1-QLD1,NSW1,55,55,1878.78,0.0
2023-11,C2022Q4,T06,C2022Q4T06,14,NSW1-QLD1,QLD1,225,105,10800.52,0.0
2023-11,C2022Q4,T06,C2022Q4T06,14,V-SA,SA1,107,64,5123.85,0.0
2023-11,C2022Q4,T06,C2022Q4T06,14,V-SA,VIC1,146,73,2962.68,0.0
2023-11,C2022Q4,T06,C2022Q4T06,14,VIC1-NSW1,NSW1,217,117,560.44,0.0
2023-11,C2022Q4,T06,C2022Q4T06,14,VIC1-NSW1,VIC1,208,125,10374.0,0.0
2023-11,C2023Q1,T05,C2023Q1T05,14,NSW1-QLD1,NSW1,55,45,3771.0,0.0
2023-11,C2023Q1,T05,C2023Q1T05,14,NSW1-QLD1,QLD1,130,103,13200.2,0.0
2023-11,C2023Q1,T05,C2023Q1T05,14,V-SA,SA1,92,73,5923.47,0.0
2023-11,C2023Q1,T05,C2023Q1T05,14,V-SA,VIC1,96,73,7628.0,0.0
2023-11,C2023Q1,T05,C2023Q1T05,14,VIC1-NSW1,NSW1,177,117,4320.0,0.0
2023-11,C2023Q1,T05,C2023Q1T05,14,VIC1-NSW1,VIC1,155,125,12513.58,0.0
2023-11,C2023Q2,T04,C2023Q2T04,14,NSW1-QLD1,NSW1,45,45,520.0,0.0
2023-11,C2023Q2,T04,C2023Q2T04,14,NSW1-QLD1,QLD1,140,102,15928.0,0.0
2023-11,C2023Q2,T04,C2023Q2T04,14,V-SA,SA1,85,64,3050.72,0.0
2023-11,C2023Q2,T04,C2023Q2T04,14,V-SA,VIC1,130,73,1801.0,0.0
2023-11,C2023Q2,T04,C2023Q2T04,14,VIC1-NSW1,NSW1,198,118,490.44,0.0
2023-11,C2023Q2,T04,C2023Q2T04,14,VIC1-NSW1,VIC1,160,125,9259.0,0.0
2023-11,C2023Q3,T03,C2023Q3T03,14,NSW1-QLD1,NSW1,45,45,501.0,0.0
